"landiq_class","landiq_subclass","bsim_crop_number"
"P","1",1.01
"T","1",1.02
"T","2",1.03
"G","1",1.04
"F","10",1.05
"F","10",1.06
"T","3",1.07
"F","5",1.08
"T","22",1.09
"T","23",1.1
"T","6",1.11
"T","7",1.12
"F","6",1.13
"F","6",1.14
"F","1",1.15
"T","9",1.16
"T",,1.17
"F","3",1.18
"G","6",1.19
"G","6",1.2
"F","10",1.21
"T","8",1.22
"T","9",1.23
"F","14",1.24
"T","4",1.25
"G","3",1.26
"T","10",1.27
"T","10",1.28
"T","11",1.29
"T","21",1.3
"T","12",1.31
"T",,1.32
"R","1",1.33
"F","2",1.34
"","",1.35
"F","7",1.36
"T","14",1.37
"T","9",1.38
"T","20",1.39
"F","5",1.4
"F","12",1.41
"T","13",1.42
"T","32",1.43
"T","18",1.44
"G","2",1.45
"T","9",1.46
"P","1",2.01
"P","3",2.02
"P","6",2.03
"P","6",2.04
"D","12",3.01
"D","1",3.02
"V","2",3.03
"V","1",3.04
"V","3",3.05
"C","8",3.06
"D",,3.07
"D","13",3.08
"C","5",4.01
"C",,4.02
"C",,4.03
"C","4",4.04
"","",4.05
"C","6",4.06
"F","8",1.47
"F","15",3.48
